region,ANO,SPO,P+S,SPD,KSC,SSD,PRI,TRI,ZEL,OTH
NAT,27.3,21.4,17.4,12.3,6.5,4.4,5.7,1.8,1.6,1.6
PRA,18.63,32.86,22.53,6.67,3.83,3.35,5.66,2.4,2.61,1.41
CBH,26.1,20.13,23.04,10.29,5.97,3.96,5.63,1.83,1.53,1.47
SBH,26.93,21.65,16.36,11.53,7.91,4.47,5.77,1.96,1.52,1.85
PLZ,29.09,18.74,16.53,12.44,7.38,4.91,5.81,1.78,1.36,1.91
KVA,32.92,13.53,17.12,14.54,6.88,4.26,5.75,1.46,1.39,2.1
UST,35.31,13.33,12.99,14.86,8.45,4.08,5.82,1.59,1.64,1.88
LIB,26.14,13.95,29.25,12.04,5.33,3.25,5.42,1.64,1.44,1.48
HRK,29.3,21.38,17.2,11.63,5.95,3.93,5.7,1.77,1.42,1.66
PAR,28.53,21.03,16.91,11.78,6.51,4.54,5.73,1.78,1.38,1.76
VYS,26.59,22.97,15.31,11.19,7.97,5.71,5.74,1.57,1.33,1.58
SMR,25.36,24.69,13.5,13.53,6.76,5.13,5.72,2.06,1.71,1.48
OLO,28.67,19.97,14.18,15.52,7.29,4.46,5.65,1.47,1.27,1.47
ZLI,25.81,23.41,16.15,14.53,5.72,4.09,5.55,1.83,1.33,1.54
M-S,33.09,16.33,11.56,16.26,7.38,5.42,5.78,1.25,1.33,1.55
